negative-fear;sadness;general-dislike;ingratitude;shame;compassion;humility;despair;anxiety;daze
affright;aggrieve;abhor;;abase;affectionate;abase;abject;afraid;bedaze
afraid;bad;abhorrent;;abash;caring;chagrin;abjectly;anxious;daze
alarm;bereaved;abominably;;abashed;commiserate;demeaning;baffled;anxiously;dazed
alarmed;bereft;abominate;;ashamed;compassionate;demeaningly;balked;apprehensive;dazzling
alert;blue;afraid;;awkward;condole_with;embarrassed;cynical;apprehensively;dazzlingly
anxious;bored;aggravate;;black;excusable;humble;defeat;brood;fulgurant
anxiously;cast_down;aggravated;;broken;feel_for;humbling;defeated;concern;fulgurous
appal;cheerless;aggressive;;chagrin;fond;humiliate;demoralized;concerned;stun
appall;cheerlessly;alien;;chagrined;forgivable;humiliated;despair;discomfit;stunned
apprehensive;contrite;alienate;;confuse;forgive;humiliating;despairing;discomfited;stupefied
apprehensively;contritely;alienated;;confused;lovesome;humiliatingly;despairingly;discompose;stupid
atrocious;dark;amok;;confusedly;merciful;mortified;desperate;disconcert;
awful;deject;amuck;;confusing;mercifully;mortify;despondently;disquieted;
awfully;demoralising;anger;;consternate;pity;mortifying;disappointed;distress;
bashfully;demoralize;angered;;discomfit;showing_mercy;self-deprecating;discomfited;distressed;
browbeaten;demoralized;angrily;;discomfited;sympathize;;discourage;distressful;
bullied;demoralizing;angry;;discompose;sympathize_with;;discouraged;distressfully;
chill;deplorable;annoy;;disconcert;tender;;discouraging;distressing;
chilling;deplorably;annoyed;;discreditably;tenderly;;disheartened;distressingly;
cliff-hanging;depress;annoying;;discredited;venial;;dispiritedly;disturbed;
cowed;depressed;anomic;;disgraced;warm;;foiled;disturbing;
cower;depressing;avaricious;;disgraceful;with_mercy;;frustrated;dwell;
crawl;depressive;baffled;;disgracefully;;;hopeless;dysphoric;
creep;desolate;balked;;dishonorably;;;hopelessly;edgy;
cringe;despairingly;bedevil;;dishonored;;;misanthropic;embarrassed;
cruel;despondent;begrudge;;dishonourably;;;misanthropical;fidgety;
cruelly;despondently;begrudging;;disordered;;;overcome;fretful;
dash;dingy;belligerent;;embarrass;;;pessimistic;high-strung;
daunt;disconsolate;belligerently;;embarrassed;;;pessimistically;impatient;
diffident;discouraged;bother;;embarrassing;;;reconcile;impatiently;
diffidently;disheartened;bothersome;;embarrassingly;;;resign;in_suspense;
dire;disheartening;brood;;flurry;;;resigned;insecure;
direful;dismal;choleric;;guilty;;;resignedly;insecurely;
dismay;dismay;churn_up;;hangdog;;;submit;interest;
dread;dispirit;contemn;;humble;;;thwarted;itchy;
dreaded;dispirited;covet;;humiliate;;;unhopeful;jittery;
dreadful;dispiriting;covetous;;humiliated;;;;jumpy;
dreadfully;distressed;covetously;;ignominious;;;;nervous;
fawn;doleful;crucify;;ignominiously;;;;nervy;
fear;dolefully;despise;;inglorious;;;;occupy;
fearful;dolorous;despiteful;;ingloriously;;;;overstrung;
fearfully;dolourous;detached;;mortified;;;;painfully;
fearsome;down;detest;;mortify;;;;perturbing;
fright;downcast;detestable;;mortifying;;;;raring;
frighten;downhearted;detestably;;opprobrious;;;;restive;
frighten_away;downtrodden;devil;;put_off;;;;restless;
frighten_off;drab;disaffect;;scandalous;;;;solicitous;
frightened;drear;disapprove;;self-conscious;;;;solicitously;
frightening;dreary;disapproving;;self-consciously;;;;troubling;
frighteningly;dysphoric;discouraged;;shame;;;;uneasily;
frightful;execrable;discouraging;;shamed;;;;uneasy;
grovel;forlorn;disdain;;shamefaced;;;;unhappy;
hangdog;forlornly;disgust;;shamefacedly;;;;unquiet;
hardhearted;get_down;disgusted;;shameful;;;;untune;
heartless;gloomful;disgustedly;;shamefully;;;;upset;
heartlessly;gloomily;disgustful;;sheepish;;;;uptight;
hesitantly;glooming;disgusting;;shocking;;;;with_impatience;
hesitatingly;gloomy;disgustingly;;sticky;;;;worried;
hideous;glum;disincline;;unenviable;;;;worrisome;
hideously;godforsaken;disinclined;;untune;;;;worry;
horrendous;grief-stricken;dislikable;;upset;;;;worrying;
horrible;grieve;dislike;;;;;;worryingly;
horribly;grieving;disoriented;;;;;;;
horrid;grievous;displease;;;;;;;
horridly;grievously;displeased;;;;;;;
horrific;grim;displeasing;;;;;;;
horrified;guilty;displeasingly;;;;;;;
horrify;hangdog;distasteful;;;;;;;
horrifying;hapless;distastefully;;;;;;;
horrifyingly;harass;dun;;;;;;;
horror-stricken;heartbreaking;enfuriate;;;;;;;
horror-struck;heartrending;enraged;;;;;;;
hysterical;heartsick;enviable;;;;;;;
hysterically;heavyhearted;enviably;;;;;;;
intimidate;joyless;envious;;;;;;;
intimidated;joylessly;enviously;;;;;;;
monstrously;lachrymose;envy;;;;;;;
outrageous;laden;estrange;;;;;;;
pall;lamentably;estranged;;;;;;;
panic;long-faced;evil;;;;;;;
panicked;lorn;exacerbate;;;;;;;
panicky;low;exasperate;;;;;;;
panic-stricken;low-spirited;exasperating;;;;;;;
panic-struck;melancholic;execrate;;;;;;;
scare;melancholy;fed_up;;;;;;;
scare_away;miserable;foul;;;;;;;
scare_off;miserably;frustrate;;;;;;;
scared;misfortunate;frustrated;;;;;;;
scarey;mournful;frustrating;;;;;;;
scarily;mournfully;furious;;;;;;;
scary;mourning;furiously;;;;;;;
shivery;oppress;galling;;;;;;;
shuddery;oppressed;get_at;;;;;;;
shy;oppressive;get_to;;;;;;;
shyly;oppressively;grabby;;;;;;;
suspenseful;pathetic;grasping;;;;;;;
suspensive;penitent;gravel;;;;;;;
terrible;penitentially;greedy;;;;;;;
terrified;penitently;green-eyed;;;;;;;
timid;persecute;grizzle;;;;;;;
timidly;persecuted;grudge;;;;;;;
timorous;piteous;grudging;;;;;;;
timorously;pitiable;harass;;;;;;;
trepid;pitiful;harassed;;;;;;;
trepidly;pitying;harried;;;;;;;
ugly;plaintive;hate;;;;;;;
unassertive;plaintively;hateful;;;;;;;
unassertively;poor;hatefully;;;;;;;
uneasily;regret;hideous;;;;;;;
unkind;regretful;horrid;;;;;;;
unsure;remorseful;horrific;;;;;;;
;remorsefully;hostile;;;;;;;
;repent;hostilely;;;;;;;
;repentant;huffily;;;;;;;
;repentantly;huffish;;;;;;;
;rue;huffy;;;;;;;
;rueful;incense;;;;;;;
;ruefully;incensed;;;;;;;
;sad;indignant;;;;;;;
;sadden;indignantly;;;;;;;
;saddening;indispose;;;;;;;
;sadly;infuriate;;;;;;;
;shamed;infuriated;;;;;;;
;shamefaced;infuriating;;;;;;;
;sorrow;inimical;;;;;;;
;sorrowful;irascible;;;;;;;
;sorrowfully;irritate;;;;;;;
;sorrowing;irritated;;;;;;;
;sorry;irritating;;;;;;;
;sorry_for;isolated;;;;;;;
;suffering;jealous;;;;;;;
;tearful;jealously;;;;;;;
;tyrannical;livid;;;;;;;
;tyrannous;lividly;;;;;;;
;uncheerful;loathe;;;;;;;
;unhappy;loathly;;;;;;;
;weeping;loathsome;;;;;;;
;woebegone;mad;;;;;;;
;woeful;maddened;;;;;;;
;woefully;maddening;;;;;;;
;world-weary;malefic;;;;;;;
;wretched;malevolent;;;;;;;
;;malevolently;;;;;;;
;;malicious;;;;;;;
;;maliciously;;;;;;;
;;malign;;;;;;;
;;misanthropic;;;;;;;
;;misanthropical;;;;;;;
;;misogynic;;;;;;;
;;murderously;;;;;;;
;;nark;;;;;;;
;;nauseate;;;;;;;
;;nauseated;;;;;;;
;;nauseating;;;;;;;
;;nauseous;;;;;;;
;;nettle;;;;;;;
;;nettled;;;;;;;
;;nettlesome;;;;;;;
;;noisome;;;;;;;
;;obscene;;;;;;;
;;odiously;;;;;;;
;;offend;;;;;;;
;;offensive;;;;;;;
;;oppress;;;;;;;
;;outrage;;;;;;;
;;outraged;;;;;;;
;;outrageous;;;;;;;
;;overjealous;;;;;;;
;;peeved;;;;;;;
;;persecute;;;;;;;
;;pesky;;;;;;;
;;pestered;;;;;;;
;;pestering;;;;;;;
;;pestiferous;;;;;;;
;;pique;;;;;;;
;;pissed;;;;;;;
;;plaguey;;;;;;;
;;plaguy;;;;;;;
;;pout;;;;;;;
;;prehensile;;;;;;;
;;provoked;;;;;;;
;;queasy;;;;;;;
;;rag;;;;;;;
;;reject;;;;;;;
;;repel;;;;;;;
;;repellant;;;;;;;
;;repellent;;;;;;;
;;repugnant;;;;;;;
;;repulse;;;;;;;
;;repulsive;;;;;;;
;;repulsively;;;;;;;
;;resentful;;;;;;;
;;resentfully;;;;;;;
;;revengefully;;;;;;;
;;revolt;;;;;;;
;;revolting;;;;;;;
;;revoltingly;;;;;;;
;;rile;;;;;;;
;;riled;;;;;;;
;;roiled;;;;;;;
;;scorn;;;;;;;
;;see_red;;;;;;;
;;separated;;;;;;;
;;set-apart;;;;;;;
;;sick;;;;;;;
;;sick_of;;;;;;;
;;sicken;;;;;;;
;;sickening;;;;;;;
;;sickeningly;;;;;;;
;;sickish;;;;;;;
;;sore;;;;;;;
;;spiteful;;;;;;;
;;stew;;;;;;;
;;stung;;;;;;;
;;sulk;;;;;;;
;;sulky;;;;;;;
;;tantalize;;;;;;;
;;teasing;;;;;;;
;;tired_of;;;;;;;
;;torment;;;;;;;
;;turn_off;;;;;;;
;;umbrageous;;;;;;;
;;unfriendly;;;;;;;
;;vengefully;;;;;;;
;;vex;;;;;;;
;;vexatious;;;;;;;
;;vexed;;;;;;;
;;vexing;;;;;;;
;;vile;;;;;;;
;;vindictive;;;;;;;
;;vindictively;;;;;;;
;;wicked;;;;;;;
;;with_hostility;;;;;;;
;;wrathful;;;;;;;
;;wrathfully;;;;;;;
;;wroth;;;;;;;
;;wrothful;;;;;;;
;;yucky;;;;;;;
